Gene ID	Gene Name	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1a Paris classification'.p-value	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1a Paris classification'.log2foldchange	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1b Paris classification'.p-value	'Crohn's disease' vs 'non inflammatory bowel disease control' in 'A1b Paris classification'.log2foldchange
ENSG00000000003	TSPAN6	0.00813733373489715	0.5	6.39438398484684e-05	0.5
ENSG00000000005	TNMD	0.00851269160032665	1	6.61065255863558e-07	1.3
ENSG00000000419	DPM1	0.987465693130042	0	0.395190089446408	0
ENSG00000000457	SCYL3	0.240155193846355	-0.1	0.161752852485095	-0.1
ENSG00000000460	C1orf112	0.888460321355187	0	0.472221464883822	0.1
ENSG00000000938	FGR	0.000613479065006053	1	1.32010081971456e-10	1.2
ENSG00000000971	CFH	0.286121938401741	0.3	8.24434167153285e-05	0.4
ENSG00000001036	FUCA2	0.682348049010513	-0.1	0.900839014040473	0
ENSG00000001084	GCLC	0.0143919497041466	-0.3	0.18293342107844	-0.1
ENSG00000001167	NFYA	0.747404234045428	-0.1	0.489416334242138	0.1
ENSG00000001460	STPG1	0.296747531623002	-0.2	0.00932813144886287	-0.3
ENSG00000001461	NIPAL3	0.00182962426925079	-0.4	1.80649493798706e-07	-0.4
ENSG00000001497	LAS1L	0.723520515703605	0	0.0823616973595907	-0.1
ENSG00000001561	ENPP4	0.888732576792678	0	0.943572434791801	0
ENSG00000001617	SEMA3F	0.0348127139383892	0.3	0.0565613493365184	0.2
ENSG00000001626	CFTR	0.797729621308056	-0.1	0.0780470987105486	0.4
ENSG00000001629	ANKIB1	0.24521030005135	-0.2	0.77036796889846	0
ENSG00000001630	CYP51A1	0.999678402537463	0	0.415204315799974	0.2
ENSG00000001631	KRIT1	0.466283744096497	-0.1	0.40464077134322	-0.1
ENSG00000002016	RAD52	0.219372409725986	-0.2	0.0155110020145491	-0.2
ENSG00000002079	MYH16	NA	0.1	0.0441691094785408	0.7
ENSG00000002330	BAD	0.988967938612267	0	0.678743931388711	-0.1
ENSG00000002549	LAP3	2.52567916379225e-06	1	3.7765271550221e-16	1
ENSG00000002586	CD99	0.258909942321896	-0.2	0.0644536321156348	-0.2
ENSG00000002587	HS3ST1	0.0145111261579174	0.4	4.71348275520507e-09	0.5
ENSG00000002726	AOC1	0.21098395603099	-0.5	9.26527666729006e-06	-0.9
ENSG00000002745	WNT16	0.57038230717407	-0.2	0.00967762862096954	-0.5
ENSG00000002746	HECW1	0.700839799359817	-0.2	0.559238892007667	0.2
ENSG00000002822	MAD1L1	0.673141797987372	0.1	0.909764783622052	0
ENSG00000002834	LASP1	0.0984569997022188	-0.3	0.00306781352990558	-0.3
ENSG00000002919	SNX11	0.124385466003878	0.2	0.205302448624216	0.1
ENSG00000002933	TMEM176A	0.806173846848573	-0.1	0.0605050277006532	-0.2
ENSG00000003056	M6PR	0.573670789490694	0.1	0.00625659591522079	0.3
