Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytokine-mediated signaling pathway (GO:0019221)	96/621	1.8788263290870734E-24	6.917838543698604E-21	0	0	3.88089121887287	212.01850090908798	IFITM3;CD86;CXCL6;CSF3;IFITM1;IL1RN;CXCL9;CSF3R;IFITM2;CXCL8;IL26;IL27;PTPRJ;CXCL1;IFI35;IFI30;CXCL3;CXCL2;CXCL5;IL18BP;ICAM1;OASL;RPS6KA4;CA1;IL18RAP;CCND1;CASP1;TIMP1;CD36;IL13RA2;JUNB;TNFRSF4;TRIM21;APPL1;CCR2;IL15RA;IL11;FCER1G;SYK;MMP1;TNFRSF18;IL1R2;HGF;MMP3;HLA-B;HLA-C;FOS;HLA-F;HLA-E;HCK;IL1A;IFI27;IFNG;IL1B;IRF1;CARD14;CCL3L1;PTAFR;FPR1;IL20RA;NOD2;PTGS2;PSMB10;SOCS3;IL1RL1;MUC1;CCL7;CCL4;CXCR2;CCL3;TNFRSF17;CCL2;FCGR1A;GBP2;GBP1;DUOX2;IL12RB2;EGR1;NOS2;STAT1;TNFSF13;OSM;LILRB2;SOD2;PSMB8;PML;PSMB9;ISG20;CXCL10;CXCL11;IL6;TEC;LCN2;SAA1;IL18R1;PF4
inflammatory response (GO:0006954)	49/230	8.925733733661282E-19	1.2797936210472684E-15	0	0	5.553111417045912	230.7883002320601	CXCL6;IL1RN;CXCL9;CXCL8;TNFAIP6;ADM;CXCL1;CXCL3;CXCL2;CXCL5;MMP25;PROK2;OLR1;LGALS9;TNFRSF4;CCR2;SLC11A1;NFAM1;FOS;IL1A;IFNG;IL1B;CHI3L1;S100A9;S100A8;TLR2;CEBPB;CCL3L1;C5AR1;FPR1;FPR3;FPR2;NLRC4;MEFV;HRH1;CCL7;CXCR2;CCL4;CCL3;CCL2;CD14;APOL3;NOS2;LYZ;SELE;CXCL10;CXCL11;IL6;PF4
neutrophil activation involved in immune response (GO:0002283)	74/485	1.0427433088380786E-18	1.2797936210472684E-15	0	0	3.7502082006564446	155.2761578683322	FCN1;PIGR;SIGLEC9;TNFAIP6;PTPRJ;CXCL1;PYGL;TCIRG1;FCAR;CTSS;SIRPB1;HK3;MMP25;FCGR3B;PLAU;OLR1;QSOX1;ACP3;CD36;CD177;CTSB;FCER1G;SYK;CD300A;NFAM1;SLC11A1;HLA-B;PLAUR;HLA-C;MCEMP1;ANO6;RNASE2;OLFM4;CKAP4;OSCAR;CEACAM3;FGR;CLEC4D;TYROBP;SLPI;CEACAM6;CHI3L1;S100A9;S100A8;TLR2;CLEC12A;PTAFR;C5AR1;FPR1;FPR2;GPR84;LILRA2;ADGRG3;SDCBP;PRDX4;CXCR1;CXCR2;S100A12;CD14;S100A11;CD55;TXNDC5;VAT1;HSPA6;LILRB2;LYZ;LILRB3;LRG1;FCGR2A;TCN1;IMPDH1;LCN2;MNDA;HPSE
neutrophil mediated immunity (GO:0002446)	73/488	5.558026632330634E-18	5.116163515060349E-15	0	0	3.658991721074241	145.37645587525546	FCN1;PIGR;SIGLEC9;TNFAIP6;PTPRJ;CXCL1;PYGL;TCIRG1;FCAR;CTSS;SIRPB1;HK3;MMP25;FCGR3B;PLAU;OLR1;QSOX1;ACP3;CD36;CD177;CTSB;FCER1G;CD300A;NFAM1;SLC11A1;HLA-B;PLAUR;HLA-C;MCEMP1;ANO6;RNASE2;OLFM4;CKAP4;OSCAR;CEACAM3;FGR;CLEC4D;TYROBP;SLPI;CEACAM6;CHI3L1;S100A9;S100A8;TLR2;CLEC12A;PTAFR;C5AR1;FPR1;FPR2;GPR84;ADGRG3;SDCBP;PRDX4;CXCR1;CXCR2;S100A12;CD14;S100A11;CD55;TXNDC5;VAT1;HSPA6;LILRB2;LYZ;LILRB3;IL6;LRG1;FCGR2A;TCN1;IMPDH1;LCN2;MNDA;HPSE
neutrophil degranulation (GO:0043312)	72/481	9.14215942290717E-18	6.298437454187266E-15	0	0	3.6589023751309813	143.5520404900301	FCN1;PIGR;SIGLEC9;TNFAIP6;PTPRJ;CXCL1;PYGL;TCIRG1;FCAR;CTSS;SIRPB1;HK3;MMP25;FCGR3B;PLAU;OLR1;QSOX1;ACP3;CD36;CD177;CTSB;FCER1G;CD300A;NFAM1;SLC11A1;HLA-B;PLAUR;HLA-C;MCEMP1;ANO6;RNASE2;OLFM4;CKAP4;OSCAR;CEACAM3;FGR;CLEC4D;TYROBP;SLPI;CEACAM6;CHI3L1;S100A9;S100A8;TLR2;CLEC12A;PTAFR;C5AR1;FPR1;FPR2;GPR84;ADGRG3;SDCBP;PRDX4;CXCR1;CXCR2;S100A12;CD14;S100A11;CD55;TXNDC5;VAT1;HSPA6;LILRB2;LYZ;LILRB3;LRG1;FCGR2A;TCN1;IMPDH1;LCN2;MNDA;HPSE
cellular response to cytokine stimulus (GO:0071345)	72/482	1.026361345060391E-17	6.298437454187266E-15	0	0	3.6497822299651568	142.77191377188623	CD86;CSF3;IL1RN;CSF3R;IFITM2;CXCL8;IL26;PTPRJ;CXCL1;CXCL2;YBX3;IL18BP;ICAM1;CCND1;HYAL2;ZC3H12A;CASP1;TIMP1;LGALS9;CD36;IL13RA2;JUNB;CCR2;GBP5;IL11;SYK;MMP1;IL1R2;HGF;WNT5A;MMP3;ACOD1;FOS;DCSTAMP;HCK;IL1A;SFRP1;RUFY4;IL1B;IRF1;CHI3L1;TLR2;ASAH2;CCL3L1;PTAFR;FPR1;IL20RA;PTGS2;SOCS3;SBNO2;MUC1;CCL7;CCL4;CCL3;CCL2;GBP2;GBP1;DUOX2;GBP4;IL12RB2;EGR1;NOS2;STAT1;OSM;CXCL10;IL6;TEC;LCN2;SAA1;MNDA;IL18R1;PF4
innate immune response (GO:0045087)	51/302	4.674833034811872E-15	2.458962176311045E-12	0	0	4.16146102612451	137.3139939304176	IFITM3;FCN1;IFITM1;FCN3;IFITM2;NCF2;TREM2;TREM1;SIRPB1;JCHAIN;CXCL16;DMBT1;TRIM21;FCER1G;SYK;SLC11A1;ZDHHC11;RNASE2;HLA-E;FGR;HCK;CLEC4D;TYROBP;IFI27;SLPI;ADAM15;TLR8;CD300E;CLEC4E;CFB;TLR2;NLRC5;NOD2;MEFV;CYP27B1;CLEC7A;UBD;S100A12;PI3;APOL1;SIGLEC15;NOS2;PML;IGLL5;CXCL10;FES;CLEC6A;SAA1;LCN2;TRIM32;APOBEC3A
granulocyte chemotaxis (GO:0071621)	24/73	2.5324065916188104E-14	1.1655401337925575E-11	0	0	9.849360083016258	308.3541252141915	CXCL6;CXCL9;CXCL8;FCER1G;SYK;CCL3L1;CXCL1;CXCL3;CXCL2;CXCL5;ADGRE2;CXCL10;CXCL11;CCL7;CXCR1;CCL4;CXCR2;CCL3;SAA1;CCL2;S100A12;S100A9;S100A8;PF4
positive regulation of cytokine production (GO:0001819)	52/335	8.440024837417137E-14	3.2547232115420484E-11	0	0	3.7609671794713533	113.21716995276074	CD86;FCN1;IL26;SERPINE1;IL27;HYAL2;FFAR2;LGALS9;APPL1;CCR2;ZBP1;GBP5;FCER1G;BTN3A1;SYK;SLC11A1;NFAM1;SPHK1;WNT5A;HLA-E;FGR;IL1A;TYROBP;IFNG;IL1B;IRF1;TLR8;CHI3L1;RAB7B;TLR2;CD274;CEBPB;LPL;NOD2;LILRA2;PTGS2;LILRA5;CLEC7A;CD14;IL12RB2;CD276;EGR1;NOS2;OSM;LILRB2;ALOX15B;SORL1;IL6;CLEC6A;SAA1;HPSE;IL18R1
neutrophil chemotaxis (GO:0030593)	23/70	8.902341269680873E-14	3.2547232115420484E-11	0	0	9.83125070359113	295.42787435743884	CXCL6;CXCL9;CXCL8;FCER1G;SYK;CCL3L1;CXCL1;CXCL3;CXCL2;CXCL5;CXCL10;CXCL11;CCL7;CXCR1;CCL4;CXCR2;CCL3;SAA1;CCL2;S100A12;S100A9;S100A8;PF4
