geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0018209	peptidyl-serine modification	http://amigo.geneontology.org/amigo/term/GO:0018209	305	35	9.248666171405416	3.784329475336814	1.2207901356475759e-11	1.0376716153004395e-8	369;472;493;673;891;1147;1756;1981;2074;5290;5579;5581;5583;5585;5587;5588;5590;5593;5601;5979;6198;6790;6872;7048;7295;8737;9770;10142;11137;11200;29110;65125;96459;122011;282974	AKAP9;ARAF;ATM;ATP2B4;AURKA;BRAF;CCNB1;CHEK2;CHUK;CSNK1A1L;DMD;EIF4G1;ERCC6;FNIP1;MAPK9;PIK3CA;PKN1;PRKCB;PRKCE;PRKCH;PRKCQ;PRKCZ;PRKD1;PRKG2;PWP1;RASSF2;RET;RIPK1;RPS6KB1;STK32C;TAF1;TBK1;TGFBR2;TXN;WNK1
GO:0046777	protein autophosphorylation	http://amigo.geneontology.org/amigo/term/GO:0046777	225	27	6.822786519889242	3.957327394209354	1.0757745805278773e-9	4.5720419672434787e-7	472;640;790;801;816;1613;2045;2066;2261;3791;3815;4751;5292;5587;5593;6098;6790;6872;8737;9770;10645;11200;11213;23043;29904;65125;80310	ATM;AURKA;BLK;CAD;CALM1;CAMK2B;CAMKK2;CHEK2;DAPK3;EEF2K;EPHA7;ERBB4;FGFR3;IRAK3;KDR;KIT;NEK2;PDGFD;PIM1;PRKD1;PRKG2;RASSF2;RIPK1;ROS1;TAF1;TNIK;WNK1
GO:0018212	peptidyl-tyrosine modification	http://amigo.geneontology.org/amigo/term/GO:0018212	389	34	11.7958398054974	2.882372138027379	3.081654986747395e-8	8.731355795784285e-6	134;640;1272;1523;1741;2042;2045;2051;2066;2074;2261;3280;3572;3791;3815;4145;4254;4919;4920;5581;5590;5606;5609;5795;5979;6098;6416;7157;7297;9542;10645;55294;80310;100133941	ADORA1;BLK;CAMKK2;CD24;CNTN1;CUX1;DLG3;EPHA3;EPHA7;EPHB6;ERBB4;ERCC6;FBXW7;FGFR3;HES1;IL6ST;KDR;KIT;KITLG;MAP2K3;MAP2K4;MAP2K7;MATK;NRG2;PDGFD;PRKCE;PRKCZ;PTPRJ;RET;ROR1;ROR2;ROS1;TP53;TYK2
GO:0002521	leukocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0002521	496	38	15.040453839400284	2.526519505711617	1.5300919087302134e-7	2.7387621892582814e-5	302;472;673;760;863;1015;1499;1958;2033;2737;2778;3815;4179;4189;4254;4436;4763;4920;5316;5468;5590;5657;5795;6095;6929;7048;8737;8792;9452;9474;9770;10202;22985;51176;54106;55294;64919;96459	ACIN1;ANXA2;ATG5;ATM;BCL11B;BRAF;CA2;CBFA2T3;CD46;CDH17;CTNNB1;DHRS2;DNAJB9;EGR1;EP300;FBXW7;FNIP1;GLI3;GNAS;ITM2A;KIT;KITLG;LEF1;MSH2;NF1;PKNOX1;PPARG;PRKCZ;PRTN3;PTPRJ;RASSF2;RIPK1;ROR2;RORA;TCF3;TGFBR2;TLR9;TNFRSF11A
GO:0071900	regulation of protein serine/threonine kinase activity	http://amigo.geneontology.org/amigo/term/GO:0071900	497	38	15.070777335044236	2.5214359654586764	1.611036581916636e-7	2.7387621892582814e-5	60;134;324;493;650;673;801;891;899;2074;2911;3815;3845;4254;4763;4920;5027;5063;5585;5606;5609;5795;5979;6416;6653;7074;8322;8737;8792;9839;11213;23043;54106;65125;80310;81848;245711;100133941	ACTB;ADORA1;APC;ATP2B4;BMP2;BRAF;CALM1;CCNB1;CCNF;CD24;ERCC6;FZD4;GRM1;IRAK3;KIT;KITLG;KRAS;MAP2K3;MAP2K4;MAP2K7;NF1;P2RX7;PAK3;PDGFD;PKN1;PTPRJ;RET;RIPK1;ROR2;SORL1;SPDYA;SPRY4;TIAM1;TLR9;TNFRSF11A;TNIK;WNK1;ZEB2
GO:0050769	positive regulation of neurogenesis	http://amigo.geneontology.org/amigo/term/GO:0050769	447	35	13.554602552846626	2.5821487471537545	2.8793360407064483e-7	4.0790593910008013e-5	650;654;673;816;1272;1499;1523;1981;2033;2042;2737;3280;3572;3815;4036;4131;5063;5121;5468;5583;5587;5789;5915;5979;6009;6929;7074;8322;8997;9839;26508;29904;50944;51760;81565	BMP2;BMP6;BRAF;CAMK2B;CNTN1;CTNNB1;CUX1;EEF2K;EIF4G1;EP300;EPHA3;FZD4;GLI3;HES1;HEYL;IL6ST;KALRN;KIT;LRP2;MAP1B;NDEL1;PAK3;PCP4;PPARG;PRKCH;PRKD1;PTPRD;RARB;RET;RHEB;SHANK1;SYT17;TCF3;TIAM1;ZEB2
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	417	32	12.644897683528061	2.5306650002937516	1.4621090420607885e-6	1.775418122502386e-4	114;134;673;760;783;801;816;999;1630;2895;2911;3815;3845;4763;4920;5579;5581;5590;5705;5802;7533;8029;9590;9746;10142;10497;23154;23621;50944;57617;143425;152330	ADCY8;ADORA1;AKAP12;AKAP9;BACE1;BRAF;CA2;CACNB2;CALM1;CAMK2B;CDH1;CLSTN3;CNTN4;CUBN;DCC;GRID2;GRM1;KIT;KRAS;NCDN;NF1;PRKCB;PRKCE;PRKCZ;PSMC5;PTPRS;ROR2;SHANK1;SYT9;UNC13B;VPS18;YWHAH
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	31	12.250692240156683	2.5304692495975654	2.14410581567126e-6	1.900023485923441e-4	114;140;1147;1386;1499;1649;1896;2033;3815;3845;4919;5292;5314;5468;5579;5583;5587;5588;5590;6872;6929;6934;8322;8737;8792;8928;9908;11213;26508;54106;60485	ADCY8;ADORA3;ATF2;CHUK;CTNNB1;DDIT3;EDA;EP300;FOXH1;FZD4;G3BP2;HEYL;IRAK3;KIT;KRAS;PIM1;PKHD1;PPARG;PRKCB;PRKCH;PRKCQ;PRKCZ;PRKD1;RIPK1;ROR1;SAV1;TAF1;TCF3;TCF7L2;TLR9;TNFRSF11A
GO:0006298	mismatch repair	http://amigo.geneontology.org/amigo/term/GO:0006298	30	8	0.9097048693185655	8.794060876020787	2.185202899296357e-6	1.900023485923441e-4	2956;3978;4292;4436;4438;4595;10714;27030	LIG1;MLH1;MLH3;MSH2;MSH4;MSH6;MUTYH;POLD3
GO:0070997	neuron death	http://amigo.geneontology.org/amigo/term/GO:0070997	325	27	9.85513608428446	2.7396881959910915	2.2353217481452248e-6	1.900023485923441e-4	134;472;673;1386;1499;1630;1649;1728;1958;1981;2045;2895;3845;4035;4436;4763;5063;5290;5700;6416;6418;6653;8626;23321;23621;29110;55294	ADORA1;ATF2;ATM;BACE1;BRAF;CTNNB1;DCC;DDIT3;EGR1;EIF4G1;EPHA7;FBXW7;GRID2;KRAS;LRP1;MAP2K4;MSH2;NF1;NQO1;PAK3;PIK3CA;PSMC1;SET;SORL1;TBK1;TP63;TRIM2
